Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/33/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/33/2,47-53-59-60,,,,0,0
?,?,eth1/33/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/33/4,47-53-59-60,,,,0,0
?,?,eth1/33/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/33/6,47-53-59-60,,,,0,0
?,?,eth1/33/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/33/8,47-53-59-60,,,,0,0
?,?,eth1/34/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/34/2,47-53-59-60,,,,0,0
?,?,eth1/34/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/34/4,47-53-59-60,,,,0,0
?,?,eth1/34/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/34/6,47-53-59-60,,,,0,0
?,?,eth1/34/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/34/8,47-53-59-60,,,,0,0
?,?,eth1/35/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/35/2,47-53-59-60,,,,0,0
?,?,eth1/35/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/35/4,47-53-59-60,,,,0,0
?,?,eth1/35/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/35/6,47-53-59-60,,,,0,0
?,?,eth1/35/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/35/8,47-53-59-60,,,,0,0
?,?,eth1/36/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/36/2,47-53-59-60,,,,0,0
?,?,eth1/36/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/36/4,47-53-59-60,,,,0,0
?,?,eth1/36/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/36/6,47-53-59-60,,,,0,0
?,?,eth1/36/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/36/8,47-53-59-60,,,,0,0
?,?,eth1/37/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/37/2,47-53-59-60,,,,0,0
?,?,eth1/37/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/37/4,47-53-59-60,,,,0,0
?,?,eth1/37/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/37/6,47-53-59-60,,,,0,0
?,?,eth1/37/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/37/8,47-53-59-60,,,,0,0
?,?,eth1/38/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/38/2,47-53-59-60,,,,0,0
?,?,eth1/38/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/38/4,47-53-59-60,,,,0,0
?,?,eth1/38/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/38/6,47-53-59-60,,,,0,0
?,?,eth1/38/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/38/8,47-53-59-60,,,,0,0
?,?,eth1/39/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/39/2,47-53-59-60,,,,0,0
?,?,eth1/39/3,47-51-53-58-59-60,,,,0,0
